property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Good and Simply Studio Apartment at Tokyo Riverside PIK 2 By Travelio,1.0,New,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,6000000,IDR,2025-01-16,1,16,2025,1,monthly
Good and Simply 1BR at Sudirman Suites Apartment By Travelio,1.0,Flash Sale,Apartment,1,1,Full Furnished,40 sqm,4.9,Sudirman,2.0,13200000,IDR,2025-01-16,1,16,2025,1,monthly
Warm and Comfort Living 2BR Apartment at Vittoria Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,47 sqm,5.0,Cengkareng,4.0,5340000,IDR,2025-01-16,1,16,2025,1,monthly
Simply Unfurnished 2BR with AC Pluit Sea View Apartment By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,42 sqm,0,Pluit,0.0,2983000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR with AC Apartment Bintaro Park View By Travelio,1.0,New,Apartment,2,1,Unfurnished,36 sqm,0,Pesanggrahan,0.0,3940000,IDR,2025-01-16,1,16,2025,1,monthly
Modern and Comfy Studio Tamansari Sudirman Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,28 sqm,4.9,Karet Kuningan,2.0,6280000,IDR,2025-01-16,1,16,2025,1,monthly
Best Deal and Spacious Studio at Bassura City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,34 sqm,5.0,Cipinang,2.0,4800000,IDR,2025-01-16,1,16,2025,1,monthly
Good Studio Unfurnished with AC at Citra Living Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,22 sqm,0,Kalideres,0.0,3000000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive at Cideng,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,11 sqm,0,Cideng,0.0,2900000,IDR,2025-01-16,1,16,2025,1,monthly
Simply Minimalist Studio at Green Park View Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,23 sqm,5.0,Daan Mogot,2.0,3100000,IDR,2025-01-16,1,16,2025,1,monthly
Fancy and Faboulous 1BR at GP Plaza Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,40 sqm,5.0,Slipi,2.0,8040000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort 2BR at Patria Park Apartment By Travelio,1.0,Disc+Cashbac,Apartment,2,1,Full Furnished,45 sqm,New,Cawang,3.0,5590000,IDR,2025-01-16,1,16,2025,1,monthly
Nice Designed 2BR Menteng Square Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,33 sqm,4.6,Menteng,4.0,5440000,IDR,2025-01-16,1,16,2025,1,monthly
Comfortable Design 2BR Apartment at Green Pramuka City By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,33 sqm,5.0,Cempaka Putih,4.0,5290000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished Studio with AC at Menteng Park Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Unfurnished,33 sqm,0,Menteng,0.0,8400000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive Genevie at Cilandak,1.0,Favourite,Hotel,Studio,1,Full Furnished,12 sqm,0,Cilandak,0.0,3150000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR with AC at L'Avenue Apartment By Travelio,3.0,GOOD DEAL,Apartment,2,1,Unfurnished,70 sqm,0,Pancoran,0.0,12000000,IDR,2025-01-16,1,16,2025,1,monthly
Good Deal and Lovely Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,3500000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious 3BR Combined Unfurnished with AC Kintamani Kondominium Apartment By Travelio,1.0,New,Apartment,3,1,Unfurnished,186 sqm,0,Mampang Prapatan,0.0,14790000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive at Kedoya,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,10 sqm,0,Kedoya Selatan,0.0,3200000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Comfort 2BR Apartment at Casa Grande Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,56 sqm,5.0,Casablanca,4.0,16990000,IDR,2025-01-16,1,16,2025,1,monthly
