property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Big Studio Combine at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,36 sqm,New,PIK 2,2.0,5000000,IDR,2025-01-16,1,16,2025,1,monthly
Homey 2BR Unfurnished at Sentraland Cengkareng Apartment By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,47 sqm,0,Cengkareng,0.0,3505500,IDR,2025-01-16,1,16,2025,1,monthly
Elegant and Spacious 2BR at Apartment Simprug Park Residences By Travelio,1.0,tidak ada promo,Apartment,2,2,Full Furnished,122 sqm,4.9,Kebayoran Lama,3.0,23310000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist Studio Unfurnished at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,1,1,Unfurnished,28 sqm,0,Cakung,0.0,1750000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy and Spacious 2BR Loft Apartment Maqna Residence By Travelio,1.0,GOOD DEAL,Apartment,2,2,Full Furnished,76 sqm,5.0,Kembangan,4.0,10000000,IDR,2025-01-16,1,16,2025,1,monthly
Simply 1BR Apartment at Pejaten Park Residence By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,41 sqm,5.0,Pejaten,2.0,7699000,IDR,2025-01-16,1,16,2025,1,monthly
Warm and Homey 2BR Apartment at Kebagusan City By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,36 sqm,4.8,Kebagusan,3.0,5250000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Comfortable 3BR Paladian Park Kelapa Gading Apartment By Travelio,1.0,tidak ada promo,Apartment,3,2,Full Furnished,110 sqm,5.0,Kelapa Gading,6.0,11840000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Homey 3BR Unfurnished with AC Holland Village Jakarta Apartment By Travelio,1.0,NEW,Apartment,3,1,Unfurnished,131 sqm,0,Cempaka Putih,0.0,13000000,IDR,2025-01-16,1,16,2025,1,monthly
Simply 1BR Unfurnished with AC at Sakura Garden City Apartment By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,49 sqm,0,Ciracas,0.0,4835500,IDR,2025-01-16,1,16,2025,1,monthly
Studio Unfurnished Apartment with AC at Sakura Garden City By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,36 sqm,0,Ciracas,0.0,2698000,IDR,2025-01-16,1,16,2025,1,monthly
Comfortable and Minimalist 2BR at French Walk (MOI) Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,2,Full Furnished,83 sqm,5.0,Kelapa Gading,4.0,8650000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic and Warm Studio at Ciputra International Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,27 sqm,5.0,Cengkareng,2.0,4240000,IDR,2025-01-16,1,16,2025,1,monthly
Great Location 1BR Signature Park Grande Apartment By Travelio,1.0,Favourite,Apartment,1,1,Full Furnished,46 sqm,5.0,MT Haryono,2.0,7650000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Well Designed 2BR Apartment with Extra Room at Vittoria Residence By Travelio,1.0,NEW UNIT,Apartment,2,1,Full Furnished,43 sqm,New,Cengkareng,3.0,4490000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Homey Studio Kebagusan City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,5.0,Kebagusan,2.0,3490000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Spacious 2BR at Nuansa Hijau Pondok Indah Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,89 sqm,New,Pondok Indah,3.0,14640000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Homey Studio Unfurnished at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,21 sqm,0,PIK 2,0.0,1440000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished Studio with AC at 19th Floor Apartment Vittoria Residence By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,29 sqm,0,Cengkareng,0.0,2900000,IDR,2025-01-16,1,16,2025,1,monthly
Great Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,2790000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Warm 2BR at Ciputra World 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,62 sqm,5.0,Karet Kuningan,4.0,17000000,IDR,2025-01-16,1,16,2025,1,monthly
Relaxing Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,3340000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Cozy Studio at Bassura City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,18 sqm,5.0,Cipinang,2.0,3890000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,4.9,PIK 2,2.0,2873700,IDR,2025-01-16,1,16,2025,1,monthly
Comfy 2BR Unfurnished at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,2,1,Unfurnished,44 sqm,0,Cakung,0.0,2000000,IDR,2025-01-16,1,16,2025,1,monthly
Simply Look 2BR Apartment at Vittoria Residence By Travelio,1.0,New,Apartment,2,1,Full Furnished,43 sqm,New,Cengkareng,3.0,5090000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist 2BR Unfurnished at Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,2,1,Unfurnished,44 sqm,0,Cakung,0.0,2000000,IDR,2025-01-16,1,16,2025,1,monthly
Modern with City View at Studio Puri Mansion Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,25 sqm,5.0,Kembangan,2.0,4390000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist Studio Room at High Floor Tifolia Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,19 sqm,New,Pulo Gadung,2.0,3740000,IDR,2025-01-16,1,16,2025,1,monthly
Best Studio Room with Wall Bed Tifolia Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,4.9,Pulo Gadung,2.0,3770000,IDR,2025-01-16,1,16,2025,1,monthly
Tranquil 2BR at Metro Park Residence Kebon Jeruk Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,45 sqm,New,Kebon Jeruk,3.0,6400000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious Studio Room at City Home Gading Riverview (MOI) By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,35 sqm,5.0,Kelapa Gading,2.0,5350000,IDR,2025-01-16,1,16,2025,1,monthly
Relax and Comfy with Pool View at Studio West Vista Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,30 sqm,4.9,Cengkareng,2.0,4888500,IDR,2025-01-16,1,16,2025,1,monthly
Best Unfurnished Studio with AC at Samesta Mahata Tanjung Barat Apartment By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,21 sqm,0,Jagakarsa,0.0,3315500,IDR,2025-01-16,1,16,2025,1,monthly
Simple and Cozy Living Studio Room at Bassura City Apartment By Travelio,1.0,Limited Time,Apartment,Studio,1,Full Furnished,18 sqm,5.0,Cipinang,2.0,3540000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy Stay Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,4.8,PIK 2,2.0,2781000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious Unfurnished 3BR with AC at Mediterania Boulevard Apartment By Travelio,1.0,Limited Time,Apartment,3,1,Unfurnished,68 sqm,0,Kemayoran,0.0,6118000,IDR,2025-01-16,1,16,2025,1,monthly
Gorgeous and Homey 2BR Bassura City Apartment near Mall By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,34 sqm,5.0,Cipinang,3.0,4790000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Warm 2BR at The Mansion Kemayoran Apartment By Travelio,1.0,NEW UNIT,Apartment,2,1,Full Furnished,73 sqm,New,Kemayoran,4.0,8340000,IDR,2025-01-16,1,16,2025,1,monthly
Great Location 2BR Apartment L'Avenue Pancoran By Travelio,1.0,New,Apartment,2,1,Full Furnished,79 sqm,5.0,Pancoran,3.0,15050500,IDR,2025-01-16,1,16,2025,1,monthly
Best Deal and Comfy Studio Green Sedayu Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,28 sqm,New,Cengkareng,2.0,4540000,IDR,2025-01-16,1,16,2025,1,monthly
Lavish and  Elegant 1BR at The Mansion Kemayoran Apartment By Travelio,1.0,BIG SALE,Apartment,1,1,Full Furnished,33 sqm,5.0,Kemayoran,2.0,5140000,IDR,2025-01-16,1,16,2025,1,monthly
Simple Studio Room at Guest House Way Seputih near Central Park By Travelio,8.0,Favourite,Apartment,Studio,1,Full Furnished,14 sqm,5.0,Tanjung Duren,2.0,2375000,IDR,2025-01-16,1,16,2025,1,monthly
Beautiful and Cozy 2BR Bassura City Apartment By Travelio,1.0,Favourite,Apartment,2,1,Full Furnished,34 sqm,4.9,Cipinang,3.0,5288390,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Homey 2BR at Puri Mansion Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,2,Full Furnished,49 sqm,5.0,Kembangan,3.0,6500000,IDR,2025-01-16,1,16,2025,1,monthly
Elegant 2BR at Gading Greenhill Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,48 sqm,5.0,Kelapa Gading,4.0,4140000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort 2BR without Living Room at Osaka Riverview PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,26 sqm,5.0,PIK 2,3.0,3000000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR Apartment with AC and Kitchen Set at Green Bay Condominium By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,73 sqm,0,Pluit,0.0,6925500,IDR,2025-01-16,1,16,2025,1,monthly
Comfy and Modern Look 2BR Northland Ancol Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,41 sqm,5.0,Ancol,5.0,4020000,IDR,2025-01-16,1,16,2025,1,monthly
Scenic and Homey 1BR Gold Coast Apartment near PIK By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,29 sqm,5.0,Pantai Indah Kapuk,2.0,8640000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort Studio Room Tokyo Riverside PIK 2 Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,3800000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Cozy Big 1BR Green Bay Pluit Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,35 sqm,4.9,Pluit,2.0,4440000,IDR,2025-01-16,1,16,2025,1,monthly
1BR Unfurnished with AC at 11th Floor Citra Living Apartment By Travelio,1.0,Limited Time,Apartment,1,1,Unfurnished,32 sqm,0,Kalideres,0.0,3410500,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist New Furnished 1BR at Puri Orchard Apartment By Travelio,1.0,Disc+Cashbac,Apartment,1,1,Full Furnished,35 sqm,4.8,Cengkareng,2.0,3790000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Elegant Studio at 6th Floor Greenlake Sunter Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,26 sqm,4.9,Sunter,2.0,4090000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Homey 2BR at Setiabudi Residence Kuningan Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,75 sqm,New,Karet Kuningan,3.0,14340000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished Studio Apartment with AC at Casablanca East Residences By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,18 sqm,0,Pondok Bambu,0.0,1900000,IDR,2025-01-16,1,16,2025,1,monthly
Gorgeous 2BR Apartment at The Mansion Bougenville Kemayoran By Travelio,1.0,NEW UNIT,Apartment,2,1,Full Furnished,49 sqm,New,Kemayoran,4.0,6390000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Cozy Living Studio at Sunter Park View Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,22 sqm,New,Sunter,2.0,3990000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Living 2BR Apartment at Casablanca East Residences By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,30 sqm,5.0,Pondok Bambu,3.0,3518900,IDR,2025-01-16,1,16,2025,1,monthly
3BR Unfurnished at Pluit Sea View Apartment By Travelio,1.0,GOOD DEAL,Apartment,3,1,Unfurnished,66 sqm,0,Pluit,0.0,3000000,IDR,2025-01-16,1,16,2025,1,monthly
Good Place 2BR at Green Bay Condominium Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,2,Full Furnished,74 sqm,New,Pluit,4.0,8000000,IDR,2025-01-16,1,16,2025,1,monthly
Good Price and Homey Studio at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,3280000,IDR,2025-01-16,1,16,2025,1,monthly
Good and Modern 2BR at Citra Living Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,39 sqm,5.0,Kalideres,4.0,7700000,IDR,2025-01-16,1,16,2025,1,monthly
Warm and Comfy 2BR Apartment at Casa Grande Residence By Travelio,1.0,Favourite,Apartment,2,2,Full Furnished,64 sqm,5.0,Casablanca,4.0,17855000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR at 16th Floor Citra Living Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Unfurnished,40 sqm,0,Kalideres,0.0,4000000,IDR,2025-01-16,1,16,2025,1,monthly
Wonderful and Spacious 2BR at Casablanca Apartment By Travelio,1.0,Flash Sale,Apartment,2,2,Full Furnished,120 sqm,New,Casablanca,4.0,18200000,IDR,2025-01-16,1,16,2025,1,monthly
Nice Unfurnished 3BR with AC at 8th Floor Slipi Apartment By Travelio,1.0,tidak ada promo,Apartment,3,1,Unfurnished,110 sqm,0,Slipi,0.0,8600000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Studio at Bassura City Apartment near to Bassura Mall By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,20 sqm,4.9,Cipinang,2.0,3749000,IDR,2025-01-16,1,16,2025,1,monthly
Elegant and Cozy Stay 1BR Apartment at Southgate Residence By Travelio,1.0,Disc+Cashbac,Apartment,1,1,Full Furnished,41 sqm,New,Tanjung Barat,2.0,10790000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy 2BR Green Bay Pluit Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,35 sqm,4.1,Pluit,3.0,3861000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Homey 2BR at Hampton Park  Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,56 sqm,5.0,Cilandak,3.0,8640000,IDR,2025-01-16,1,16,2025,1,monthly
Stunning 2BR Apartment at The Mansion Kemayoran near JIEXPO By Travelio,1.0,Disc+Cashbac,Apartment,2,1,Full Furnished,35 sqm,5.0,Kemayoran,4.0,5340000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy 2BR Apartment Bassura City near Shopping Mall By Travelio,1.0,Favourite,Apartment,2,1,Full Furnished,34 sqm,5.0,Cipinang,3.0,4890000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Enjoy Living Studio at Fifty Seven Promenade Apartment By Travelio,1.0,NEW UNIT,Apartment,Studio,1,Full Furnished,38 sqm,New,Tanah Abang,2.0,13390000,IDR,2025-01-16,1,16,2025,1,monthly
Best North 1BR L'Avenue Apartment By Travelio,1.0,Favourite,Apartment,1,1,Full Furnished,68 sqm,4.8,Pancoran,2.0,11740000,IDR,2025-01-16,1,16,2025,1,monthly
Great Deal and Homey 1BR Apartment Puri Orchard By Travelio,1.0,NEW UNIT,Apartment,1,1,Full Furnished,35 sqm,New,Cengkareng,2.0,4290000,IDR,2025-01-16,1,16,2025,1,monthly
Stunning and Well Designed 2BR Apartment at Vittoria Residence By Travelio,1.0,NEW UNIT,Apartment,2,1,Full Furnished,47 sqm,New,Cengkareng,3.0,4640000,IDR,2025-01-16,1,16,2025,1,monthly
New Furnished and Relaxing 2BR at Marina Ancol Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,48 sqm,New,Ancol,4.0,5600000,IDR,2025-01-16,1,16,2025,1,monthly
Well Furnished and Comfort 2BR at Seasons City Latumenten Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,27 sqm,4.9,Tambora,3.0,4640000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy 2BR Apartment at 8th Floor Gading Nias Residence By Travelio,1.0,GOOD DEAL,Apartment,2,1,Full Furnished,35 sqm,4.2,Kelapa Gading,3.0,2500000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Cozy Living 2BR Grand Emerald Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,35 sqm,New,Kelapa Gading,3.0,3112000,IDR,2025-01-16,1,16,2025,1,monthly
Good Deal and Homey Studio at Citra Living Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,22 sqm,New,Kalideres,2.0,3990000,IDR,2025-01-16,1,16,2025,1,monthly
Contemporary 2BR at Green Palace Kalibata Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,35 sqm,4.7,Kalibata,3.0,5390000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic and Simple Studio Tifolia Apartment near Kelapa Gading By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,4.8,Pulo Gadung,2.0,3840000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious Combined 3BR with Maid Room Nuansa Hijau Pondok Indah Apartment By Travelio,1.0,BIG SALE,Apartment,3,2,Full Furnished,186 sqm,New,Pondok Indah,5.0,24140000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Studio Unfurnished with AC at Tokyo Riverside Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,21 sqm,0,PIK 2,0.0,1690000,IDR,2025-01-16,1,16,2025,1,monthly
Relaxing 2BR Bassura City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,34 sqm,5.0,Cipinang,3.0,5040000,IDR,2025-01-16,1,16,2025,1,monthly
Comfortable and Minimalist Studio at Amethyst Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,31 sqm,5.0,Gunung Sahari,2.0,3890000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Studio with Direct Access to Mall Green Pramuka City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,4.9,Cempaka Putih,2.0,4475000,IDR,2025-01-16,1,16,2025,1,monthly
Warm and Homey 1BR at Cervino Village Casablanca Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Full Furnished,45 sqm,5.0,Casablanca,2.0,6478000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Stay 2BR at Patria Park Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,45 sqm,New,Cawang,3.0,6040000,IDR,2025-01-16,1,16,2025,1,monthly
Comfy 2BR L'Avenue Apartment By Travelio,1.0,Favourite,Apartment,2,1,Full Furnished,77 sqm,4.9,Pancoran,3.0,14090000,IDR,2025-01-16,1,16,2025,1,monthly
Modern Apartment 2BR at Northland Ancol near Ancol By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,41 sqm,4.9,Ancol,3.0,6510000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort Living 2BR Apartment at Kebagusan City By Travelio,1.0,Limited Time,Apartment,2,1,Full Furnished,36 sqm,5.0,Kebagusan,3.0,4990000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Elegant 1BR (No Kitchen) at Gold Coast Apartment By Travelio,1.0,Favourite,Apartment,1,1,Full Furnished,34 sqm,5.0,Pantai Indah Kapuk,2.0,9400000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Living and Tidy 2BR Green Bay Pluit Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,42 sqm,5.0,Pluit,4.0,4940000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR with AC at 16th Floor Menara Cawang Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Unfurnished,33 sqm,0,Cawang,0.0,2400000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic Studio Unfurnished with AC at Bassura City Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,18 sqm,0,Cipinang,0.0,2840000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Spacious 2BR at St. Moritz Puri Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,84 sqm,5.0,Kembangan,4.0,11810000,IDR,2025-01-16,1,16,2025,1,monthly
Best View 2BR Green Bay Condominium Apartment By Travelio,1.0,NEW UNIT,Apartment,2,2,Full Furnished,67 sqm,New,Pluit,4.0,9440000,IDR,2025-01-16,1,16,2025,1,monthly
Nice and Spacious 2BR Green Pramuka City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,34 sqm,5.0,Cempaka Putih,2.0,5308900,IDR,2025-01-16,1,16,2025,1,monthly
Comfy and Elegant Studio Apartment Taman Anggrek Residence By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,26 sqm,New,Tanjung Duren,2.0,5240000,IDR,2025-01-16,1,16,2025,1,monthly
New Furnished and Homey 2BR at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Favourite,Apartment,2,1,Full Furnished,36 sqm,4.9,PIK 2,3.0,3790000,IDR,2025-01-16,1,16,2025,1,monthly
Simply Spacious 1BR Apartment at Green Bay Condominium By Travelio,1.0,Up To 1JT,Apartment,1,1,Full Furnished,44 sqm,5.0,Pluit,2.0,5390000,IDR,2025-01-16,1,16,2025,1,monthly
Best Price Modern Studio Apartment at Nifarro Park By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,26 sqm,4.8,Pasar Minggu,2.0,3951000,IDR,2025-01-16,1,16,2025,1,monthly
Modern 2BR Apartment at Maqna Residence By Travelio,1.0,Favourite,Apartment,2,2,Full Furnished,76 sqm,4.9,Kembangan,4.0,12340000,IDR,2025-01-16,1,16,2025,1,monthly
2BR with Access to Shopping Center at Kalibata City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,35 sqm,4.7,Kalibata,3.0,4340000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Modern 2BR at Pluit Sea View Apartment By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,35 sqm,5.0,Pluit,3.0,3032000,IDR,2025-01-16,1,16,2025,1,monthly
Good Deal and Comfortable 2BR Apartment Casablanca East Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,33 sqm,New,Pondok Bambu,3.0,3500000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Modern Studio Tifolia Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,4.8,Pulo Gadung,2.0,3526000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 2BR with AC at 11st Floor Gading Icon Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Unfurnished,36 sqm,0,Pulo Gadung,0.0,2400000,IDR,2025-01-16,1,16,2025,1,monthly
Modern and Comfortable 2BR at Citra Living Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,40 sqm,5.0,Kalideres,4.0,6540000,IDR,2025-01-16,1,16,2025,1,monthly
Restful and Spacious Studio at Daan Mogot City Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,37 sqm,New,Daan Mogot,2.0,4622000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Modern Look Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,1.0,2626500,IDR,2025-01-16,1,16,2025,1,monthly
Best Deal Studio Unfurnished with AC at Bassura City Apartment By Travelio,1.0,Favourite,Apartment,1,1,Unfurnished,20 sqm,0,Cipinang,0.0,2500000,IDR,2025-01-16,1,16,2025,1,monthly
Good and Comfortable Studio at Menteng Square Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,26 sqm,5.0,Menteng,2.0,4590000,IDR,2025-01-16,1,16,2025,1,monthly
Modern Look and Comfortable Studio at Green Sedayu Apartment By Travelio,1.0,BIG SALE,Apartment,Studio,1,Full Furnished,28 sqm,5.0,Cengkareng,2.0,4340000,IDR,2025-01-16,1,16,2025,1,monthly
Nice 2BR Unfurnished at 9th Floor Paradise Mansion Apartment By Travelio,1.0,GOOD DEAL,Apartment,1,1,Unfurnished,44 sqm,0,Kalideres,0.0,2850000,IDR,2025-01-16,1,16,2025,1,monthly
Homey 2BR at L'Avenue Apartment Pancoran By Travelio,1.0,BIG SALE,Apartment,2,1,Full Furnished,88 sqm,5.0,Pancoran,4.0,13290000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Living Studio at Green Sedayu Apartment By Travelio,1.0,BIG SALE,Apartment,Studio,1,Full Furnished,28 sqm,5.0,Cengkareng,2.0,4390000,IDR,2025-01-16,1,16,2025,1,monthly
2BR Unfurnished at Daan Mogot City Apartment By Travelio,1.0,Limited Time,Apartment,2,1,Unfurnished,51 sqm,0,Daan Mogot,0.0,3363000,IDR,2025-01-16,1,16,2025,1,monthly
Comfort and Minimalist Studio at Belmont Residence Puri Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,22 sqm,4.7,Kembangan,2.0,3009000,IDR,2025-01-16,1,16,2025,1,monthly
New and Homey Studio at Floor 35th Tokyo Riverside PIK 2 Apartment By Travelio,1.0,NEW UNIT,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,2640000,IDR,2025-01-16,1,16,2025,1,monthly
Scenic and Comfy Studio West Vista Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,30 sqm,5.0,Cengkareng,2.0,4550000,IDR,2025-01-16,1,16,2025,1,monthly
New Unfurnished 2BR at Tokyo Riverside PIK 2 Apartment By Travelio,1.0,GOOD DEAL,Apartment,2,1,Unfurnished,38 sqm,0,PIK 2,0.0,2500000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Elegant 1BR Apartment at Mediterania Boulevard By Travelio,1.0,Flash Sale,Apartment,1,1,Full Furnished,54 sqm,4.4,Kemayoran,2.0,4990000,IDR,2025-01-16,1,16,2025,1,monthly
Good and Homey Studio at Cervino Village Casablanca Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,28 sqm,4.6,Casablanca,2.0,5790000,IDR,2025-01-16,1,16,2025,1,monthly
